actor,condition,scene_id,panel,questions,valid,correct,accuracy,all_correct,disagreement
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0000-origin0,ORIGIN,34,34,34,1.0,1,3
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0000-origin1,ORIGIN,34,34,34,1.0,1,13
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0000-origin2,ORIGIN,34,34,34,1.0,1,18
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0000-origin3,ORIGIN,34,34,32,0.9411764705882353,0,20
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0001-origin0,ORIGIN,34,34,34,1.0,1,4
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0001-origin1,ORIGIN,34,34,34,1.0,1,12
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0001-origin2,ORIGIN,34,34,34,1.0,1,20
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0001-origin3,ORIGIN,34,34,34,1.0,1,22
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0002-origin0,ORIGIN,34,34,34,1.0,1,0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0002-origin1,ORIGIN,34,34,34,1.0,1,11
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0002-origin2,ORIGIN,34,34,34,1.0,1,18
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0002-origin3,ORIGIN,34,34,34,1.0,1,18
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0003-origin0,ORIGIN,34,34,34,1.0,1,6
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0003-origin1,ORIGIN,34,34,34,1.0,1,7
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0003-origin2,ORIGIN,34,34,34,1.0,1,15
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0003-origin3,ORIGIN,34,34,34,1.0,1,15
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0004-origin0,ORIGIN,34,34,34,1.0,1,3
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0004-origin1,ORIGIN,34,34,32,0.9411764705882353,0,9
