actor,procedure,world,qualified,n,parse_rate,direct_negation_accuracy,equality_accuracy,score_accuracy,truncated,generation_score_agreement,mean_new_tokens,by_family
gemma,C1,source,False,96,1.0,1.0,0.625,0.875,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 1.0, ""same"": 0.625}"
gemma,C1,counterfactual,True,96,1.0,0.984375,0.9375,0.96875,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 0.9230769230769231, ""same"": 0.9375}"
gemma,C1,pooled,False,192,1.0,0.9921875,0.78125,0.921875,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 0.9615384615384616, ""same"": 0.78125}"
gemma,C1S,source,False,96,1.0,1.0,0.78125,0.9270833333333334,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 1.0, ""same"": 0.78125}"
gemma,C1S,counterfactual,True,96,1.0,0.984375,0.90625,0.9583333333333334,0,1.0,3.0208333333333335,"{""direct"": 1.0, ""opposes"": 0.9230769230769231, ""same"": 0.90625}"
gemma,C1S,pooled,False,192,1.0,0.9921875,0.84375,0.9427083333333334,0,1.0,3.0104166666666665,"{""direct"": 1.0, ""opposes"": 0.9615384615384616, ""same"": 0.84375}"
gemma,T4,source,False,96,1.0,1.0,0.8125,0.9375,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 1.0, ""same"": 0.8125}"
gemma,T4,counterfactual,True,96,1.0,1.0,0.9375,0.9791666666666666,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 1.0, ""same"": 0.9375}"
gemma,T4,pooled,True,192,1.0,1.0,0.875,0.9583333333333334,0,1.0,3.0,"{""direct"": 1.0, ""opposes"": 1.0, ""same"": 0.875}"
qwen,C1,source,False,96,1.0,0.96875,0.625,0.8541666666666666,0,1.0,2.0,"{""direct"": 0.9803921568627451, ""opposes"": 0.9230769230769231, ""same"": 0.625}"
qwen,C1,counterfactual,False,96,1.0,0.984375,0.53125,0.8333333333333334,0,1.0,2.0,"{""direct"": 1.0, ""opposes"": 0.9230769230769231, ""same"": 0.53125}"
qwen,C1,pooled,False,192,1.0,0.9765625,0.578125,0.84375,0,1.0,2.0,"{""direct"": 0.9901960784313726, ""opposes"": 0.9230769230769231, ""same"": 0.578125}"
qwen,C1S,source,False,96,1.0,0.953125,0.625,0.84375,0,1.0,2.0,"{""direct"": 0.9607843137254902, ""opposes"": 0.9230769230769231, ""same"": 0.625}"
qwen,C1S,counterfactual,False,96,1.0,0.96875,0.5625,0.8333333333333334,0,1.0,2.0,"{""direct"": 0.9803921568627451, ""opposes"": 0.9230769230769231, ""same"": 0.5625}"
qwen,C1S,pooled,False,192,1.0,0.9609375,0.59375,0.8385416666666666,0,1.0,2.0,"{""direct"": 0.9705882352941176, ""opposes"": 0.9230769230769231, ""same"": 0.59375}"
qwen,T4,source,False,96,1.0,0.953125,0.65625,0.8541666666666666,0,1.0,2.0,"{""direct"": 0.9607843137254902, ""opposes"": 0.9230769230769231, ""same"": 0.65625}"
qwen,T4,counterfactual,False,96,1.0,0.9375,0.71875,0.8645833333333334,0,1.0,2.0,"{""direct"": 1.0, ""opposes"": 0.6923076923076923, ""same"": 0.71875}"
qwen,T4,pooled,False,192,1.0,0.9453125,0.6875,0.859375,0,1.0,2.0,"{""direct"": 0.9803921568627451, ""opposes"": 0.8076923076923077, ""same"": 0.6875}"
