actor,contrast,seed,effect,lower,upper,scenes,discordant,level
gemma,INV_COMPLETE_SINGLE_minus_INV_SPARSE_CONTINUE,s0,0.03125,-0.1171875,0.1796875,64,40,0.9875
gemma,INV_COMPLETE_SINGLE_minus_INV_SPARSE_CONTINUE,s1,0.21875,0.078125,0.3515625,64,41,0.9875
gemma,INV_COMPLETE_SINGLE_minus_INV_SPARSE_CONTINUE,avg,0.125,0.00390625,0.23828125,64,57,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FREE_SPARSE_CONTINUE,s0,0.046875,-0.0859375,0.1796875,64,28,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FREE_SPARSE_CONTINUE,s1,0.125,-0.0234375,0.265625,64,33,0.9875
gemma,FREE_COMPLETE_SINGLE_minus_FREE_SPARSE_CONTINUE,avg,0.0859375,-0.01171875,0.1875,64,45,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|coverage_endpoint,s0,-0.09375,-0.25,0.05864257812500284,64,42,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|coverage_endpoint,s1,0.0625,-0.078125,0.2109375,64,34,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|coverage_endpoint,avg,-0.015625,-0.1328125,0.1015625,64,50,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|repeat_restore,s0,-0.01875,-0.134375,0.103125,64,28,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|repeat_restore,s1,0.15000000000000002,0.056249999999999994,0.24845703125000113,64,27,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|repeat_restore,avg,0.06562499999999999,-0.0015624999999999944,0.1375,64,33,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|two_three_edit_harm,s0,0.0205078125,-0.005779012044270868,0.04809672037760423,64,30,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|two_three_edit_harm,s1,0.008300781249999998,-0.019613647460937536,0.037760416666666664,64,32,0.9875
gemma,INV_COMPLETE_SINGLE_minus_FREE_COMPLETE_SINGLE|two_three_edit_harm,avg,0.014404296874999997,-0.007365417480468767,0.037109375,64,39,0.9875
