model,task,procedure,parse,changed_type_acc,invariant_type_acc,qualified,mean_new_tokens
gemma,relation,C0,1.0,0.8333333333333334,1.0,False,3.0
gemma,priority,C0,1.0,0.8333333333333334,0.9166666666666666,False,3.0833333333333335
gemma,relation,C1,1.0,1.0,1.0,True,3.0
gemma,priority,C1,1.0,0.75,0.8333333333333334,False,3.0
gemma,priority,C2,1.0,0.6666666666666666,0.75,False,3.0833333333333335
llama,relation,C0,1.0,0.75,0.75,False,2.0
llama,priority,C0,1.0,0.6666666666666666,0.8333333333333334,False,4.5
llama,relation,C1,1.0,0.6666666666666666,1.0,False,2.0
llama,priority,C1,1.0,0.5833333333333334,0.8333333333333334,False,2.1666666666666665
llama,relation,C2,1.0,0.6666666666666666,1.0,False,2.0
llama,priority,C2,1.0,0.5833333333333334,0.6666666666666666,False,2.0416666666666665
