parser,root_id,A,records_correct_both,records,questions,C,D,W
primary,rippleedits:popular:670,False,2,3,2,2,0,0
primary,rippleedits:popular:736,True,8,8,7,7,1,1
primary,rippleedits:random:1791,False,1,2,1,1,0,0
primary,rippleedits:popular:152,True,4,4,3,3,0,0
primary,rippleedits:popular:133,True,5,5,4,3,0,0
primary,rippleedits:popular:837,False,3,4,3,3,1,0
primary,rippleedits:popular:622,True,5,5,4,4,1,1
primary,rippleedits:random:60,False,3,4,3,2,0,0
primary,rippleedits:popular:703,True,2,2,1,1,0,0
primary,rippleedits:random:1066,True,3,3,2,2,0,0
primary,rippleedits:popular:110,True,2,2,1,1,0,0
primary,rippleedits:popular:10,True,6,6,5,5,0,0
primary,rippleedits:popular:118,True,4,4,3,3,0,0
primary,rippleedits:popular:155,False,7,8,7,3,0,0
primary,rippleedits:popular:836,False,2,3,2,2,0,0
primary,rippleedits:random:1468,True,4,4,3,3,0,0
primary,rippleedits:popular:38,True,2,2,1,1,0,0
primary,rippleedits:random:354,True,4,4,3,3,0,0
primary,rippleedits:popular:539,False,1,2,1,1,0,0
primary,rippleedits:random:17,False,4,5,4,3,0,0
primary,rippleedits:random:1775,False,1,2,1,1,0,0
primary,rippleedits:random:1202,True,5,5,4,4,0,0
primary,rippleedits:popular:85,True,2,2,1,1,0,0
primary,rippleedits:random:1320,True,3,3,2,2,0,0
primary,rippleedits:popular:824,True,2,2,1,1,0,0
primary,rippleedits:random:491,True,3,3,2,2,1,1
primary,rippleedits:popular:483,True,4,4,3,3,0,0
primary,rippleedits:random:1689,True,5,5,4,4,0,0
primary,rippleedits:popular:627,False,2,3,2,2,0,0
primary,rippleedits:popular:717,True,3,3,2,2,0,0
primary,rippleedits:popular:107,False,5,6,5,5,0,0
primary,rippleedits:random:857,True,7,7,6,5,0,0
primary,rippleedits:popular:620,True,2,2,1,1,0,0
primary,rippleedits:random:618,True,5,5,4,4,0,0
alternative,rippleedits:popular:670,False,1,3,2,2,0,0
alternative,rippleedits:popular:736,False,7,8,7,7,1,0
alternative,rippleedits:random:1791,False,1,2,1,1,0,0
alternative,rippleedits:popular:152,True,4,4,3,3,0,0
alternative,rippleedits:popular:133,True,5,5,4,3,0,0
alternative,rippleedits:popular:837,False,2,4,3,3,1,0
alternative,rippleedits:popular:622,True,5,5,4,4,1,1
alternative,rippleedits:random:60,False,3,4,3,2,0,0
alternative,rippleedits:popular:703,True,2,2,1,1,0,0
alternative,rippleedits:random:1066,False,2,3,2,2,0,0
alternative,rippleedits:popular:110,False,1,2,1,1,0,0
alternative,rippleedits:popular:10,True,6,6,5,5,0,0
alternative,rippleedits:popular:118,False,3,4,3,3,0,0
alternative,rippleedits:popular:155,False,7,8,7,3,0,0
alternative,rippleedits:popular:836,False,2,3,2,2,0,0
alternative,rippleedits:random:1468,True,4,4,3,3,0,0
alternative,rippleedits:popular:38,True,2,2,1,1,0,0
alternative,rippleedits:random:354,True,4,4,3,3,0,0
alternative,rippleedits:popular:539,False,0,2,1,1,0,0
alternative,rippleedits:random:17,False,3,5,4,3,0,0
alternative,rippleedits:random:1775,False,1,2,1,1,0,0
alternative,rippleedits:random:1202,True,5,5,4,4,0,0
alternative,rippleedits:popular:85,True,2,2,1,1,0,0
alternative,rippleedits:random:1320,False,2,3,2,2,0,0
alternative,rippleedits:popular:824,True,2,2,1,1,0,0
alternative,rippleedits:random:491,True,3,3,2,2,1,1
alternative,rippleedits:popular:483,False,3,4,3,3,0,0
alternative,rippleedits:random:1689,True,5,5,4,4,0,0
alternative,rippleedits:popular:627,False,2,3,2,2,0,0
alternative,rippleedits:popular:717,True,3,3,2,2,0,0
alternative,rippleedits:popular:107,False,4,6,5,5,0,0
alternative,rippleedits:random:857,False,6,7,6,5,0,0
alternative,rippleedits:popular:620,True,2,2,1,1,0,0
alternative,rippleedits:random:618,True,5,5,4,4,0,0
