actor,condition,program,boolean_rows,operands_covered,operands_missing,operands_both_correct,consequence_correct,consequence_correct_given_operands_correct,consequence_consistent_with_direct,consistent_and_correct,invariant_rows,new_invariant_errors,new_invariant_errors_native_correct,new_invariant_errors_operands_correct,changed_rows,changed_errors
gemma,INV_SPARSE_CONTINUE_s0,single,512,256,256,244,249,238,245,244,256,10,9,0,256,25
gemma,INV_SPARSE_CONTINUE_s0,AB,512,256,256,244,228,221,232,227,256,24,20,13,256,38
gemma,INV_SPARSE_CONTINUE_s0,BA,512,256,256,244,228,221,232,227,256,24,20,13,256,38
gemma,INV_SPARSE_CONTINUE_s0,ABC,512,512,0,464,429,397,437,421,288,50,28,42,224,23
gemma,INV_SPARSE_CONTINUE_s0,CBA,512,512,0,464,429,397,437,421,288,50,28,42,224,23
gemma,INV_SPARSE_CONTINUE_s0,AB_cross,512,256,256,244,236,226,234,232,256,18,18,6,256,33
gemma,INV_SPARSE_CONTINUE_s1,single,512,256,256,252,249,245,247,247,256,4,4,0,256,15
gemma,INV_SPARSE_CONTINUE_s1,AB,512,256,256,252,225,223,227,225,256,19,15,15,256,22
gemma,INV_SPARSE_CONTINUE_s1,BA,512,256,256,252,225,223,227,225,256,19,15,15,256,22
gemma,INV_SPARSE_CONTINUE_s1,ABC,512,512,0,496,432,424,440,432,288,50,33,44,224,19
gemma,INV_SPARSE_CONTINUE_s1,CBA,512,512,0,496,432,424,440,432,288,50,33,44,224,19
gemma,INV_SPARSE_CONTINUE_s1,AB_cross,512,256,256,254,239,238,240,239,256,8,8,4,256,20
gemma,INV_COMPLETE_SINGLE_s0,single,512,256,256,250,250,244,247,247,256,0,0,0,256,24
gemma,INV_COMPLETE_SINGLE_s0,AB,512,256,256,232,242,223,240,235,256,2,2,2,256,34
gemma,INV_COMPLETE_SINGLE_s0,BA,512,256,256,232,242,223,240,235,256,2,2,2,256,34
gemma,INV_COMPLETE_SINGLE_s0,ABC,512,512,0,476,478,446,468,464,288,8,2,7,224,26
gemma,INV_COMPLETE_SINGLE_s0,CBA,512,512,0,476,478,446,468,464,288,8,2,7,224,26
gemma,INV_COMPLETE_SINGLE_s0,AB_cross,512,256,256,252,236,232,234,234,256,3,3,3,256,35
gemma,INV_COMPLETE_SINGLE_s1,single,512,256,256,248,252,244,248,248,256,0,0,0,256,14
gemma,INV_COMPLETE_SINGLE_s1,AB,512,256,256,256,234,234,234,234,256,2,2,2,256,32
gemma,INV_COMPLETE_SINGLE_s1,BA,512,256,256,256,234,234,234,234,256,2,2,2,256,32
gemma,INV_COMPLETE_SINGLE_s1,ABC,512,512,0,512,468,468,468,468,288,3,3,3,224,41
gemma,INV_COMPLETE_SINGLE_s1,CBA,512,512,0,512,468,468,468,468,288,3,3,3,224,41
gemma,INV_COMPLETE_SINGLE_s1,AB_cross,512,256,256,254,236,234,235,235,256,2,2,2,256,26
gemma,FREE_SPARSE_CONTINUE_s0,single,512,256,256,242,245,233,243,241,256,6,5,4,256,23
gemma,FREE_SPARSE_CONTINUE_s0,AB,512,256,256,240,228,217,230,225,256,12,10,8,256,40
gemma,FREE_SPARSE_CONTINUE_s0,BA,512,256,256,240,228,217,230,225,256,12,10,8,256,40
gemma,FREE_SPARSE_CONTINUE_s0,ABC,512,512,0,460,443,410,455,436,288,43,18,34,224,22
gemma,FREE_SPARSE_CONTINUE_s0,CBA,512,512,0,460,443,410,455,436,288,43,18,34,224,22
gemma,FREE_SPARSE_CONTINUE_s0,AB_cross,512,256,256,242,232,220,229,227,256,8,8,2,256,36
gemma,FREE_SPARSE_CONTINUE_s1,single,512,256,256,244,237,227,235,233,256,0,0,0,256,46
gemma,FREE_SPARSE_CONTINUE_s1,AB,512,256,256,222,226,203,231,220,256,5,4,3,256,57
gemma,FREE_SPARSE_CONTINUE_s1,BA,512,256,256,222,226,203,231,220,256,5,4,3,256,57
gemma,FREE_SPARSE_CONTINUE_s1,ABC,512,512,0,436,446,391,450,429,288,12,9,8,224,50
gemma,FREE_SPARSE_CONTINUE_s1,CBA,512,512,0,436,446,391,450,429,288,12,9,8,224,50
gemma,FREE_SPARSE_CONTINUE_s1,AB_cross,512,256,256,238,238,224,237,233,256,0,0,0,256,41
gemma,FREE_COMPLETE_SINGLE_s0,single,512,256,256,254,249,247,248,248,256,0,0,0,256,26
gemma,FREE_COMPLETE_SINGLE_s0,AB,512,256,256,248,235,231,239,235,256,4,2,0,256,38
gemma,FREE_COMPLETE_SINGLE_s0,BA,512,256,256,248,235,231,239,235,256,4,2,0,256,38
gemma,FREE_COMPLETE_SINGLE_s0,ABC,512,512,0,486,464,448,471,461,288,15,5,7,224,33
gemma,FREE_COMPLETE_SINGLE_s0,CBA,512,512,0,486,464,448,471,461,288,15,5,7,224,33
gemma,FREE_COMPLETE_SINGLE_s0,AB_cross,512,256,256,250,241,235,238,238,256,0,0,0,256,34
gemma,FREE_COMPLETE_SINGLE_s1,single,512,256,256,250,254,248,251,251,256,4,3,2,256,12
gemma,FREE_COMPLETE_SINGLE_s1,AB,512,256,256,252,249,247,251,249,256,8,6,3,256,15
gemma,FREE_COMPLETE_SINGLE_s1,BA,512,256,256,252,249,247,251,249,256,8,6,3,256,15
gemma,FREE_COMPLETE_SINGLE_s1,ABC,512,512,0,496,475,463,475,471,288,18,13,16,224,18
gemma,FREE_COMPLETE_SINGLE_s1,CBA,512,512,0,496,475,463,475,471,288,18,13,16,224,18
gemma,FREE_COMPLETE_SINGLE_s1,AB_cross,512,256,256,252,229,225,227,227,256,9,9,9,256,28
gemma,FROZEN_V3_INVARIANT_SET_s0,single,512,256,256,244,249,238,245,244,256,10,9,0,256,25
gemma,FROZEN_V3_INVARIANT_SET_s0,AB,512,256,256,244,228,221,232,227,256,24,20,13,256,38
gemma,FROZEN_V3_INVARIANT_SET_s0,BA,512,256,256,244,228,221,232,227,256,24,20,13,256,38
gemma,FROZEN_V3_INVARIANT_SET_s0,ABC,512,512,0,464,429,397,437,421,288,50,28,42,224,23
gemma,FROZEN_V3_INVARIANT_SET_s0,CBA,512,512,0,464,429,397,437,421,288,50,28,42,224,23
gemma,FROZEN_V3_INVARIANT_SET_s0,AB_cross,512,256,256,244,236,226,234,232,256,18,18,6,256,33
gemma,FROZEN_V3_INVARIANT_SET_s1,single,512,256,256,244,246,234,240,240,256,0,0,0,256,30
gemma,FROZEN_V3_INVARIANT_SET_s1,AB,512,256,256,244,218,210,220,216,256,5,1,5,256,43
gemma,FROZEN_V3_INVARIANT_SET_s1,BA,512,256,256,244,218,210,220,216,256,5,1,5,256,43
gemma,FROZEN_V3_INVARIANT_SET_s1,ABC,512,512,0,484,446,426,448,440,288,19,10,17,224,36
gemma,FROZEN_V3_INVARIANT_SET_s1,CBA,512,512,0,484,446,426,448,440,288,19,10,17,224,36
gemma,FROZEN_V3_INVARIANT_SET_s1,AB_cross,512,256,256,242,230,218,227,225,256,0,0,0,256,38
gemma,FROZEN_V3_FREE_OVERWRITE_s0,single,512,256,256,242,245,233,243,241,256,6,5,4,256,23
gemma,FROZEN_V3_FREE_OVERWRITE_s0,AB,512,256,256,240,228,217,230,225,256,12,10,8,256,40
gemma,FROZEN_V3_FREE_OVERWRITE_s0,BA,512,256,256,240,228,217,230,225,256,12,10,8,256,40
gemma,FROZEN_V3_FREE_OVERWRITE_s0,ABC,512,512,0,460,443,410,455,436,288,43,18,34,224,22
gemma,FROZEN_V3_FREE_OVERWRITE_s0,CBA,512,512,0,460,443,410,455,436,288,43,18,34,224,22
gemma,FROZEN_V3_FREE_OVERWRITE_s0,AB_cross,512,256,256,242,232,220,229,227,256,8,8,2,256,36
gemma,FROZEN_V3_FREE_OVERWRITE_s1,single,512,256,256,230,225,203,221,217,256,0,0,0,256,73
gemma,FROZEN_V3_FREE_OVERWRITE_s1,AB,512,256,256,228,213,195,219,209,256,5,2,3,256,84
gemma,FROZEN_V3_FREE_OVERWRITE_s1,BA,512,256,256,228,213,195,219,209,256,5,2,3,256,84
gemma,FROZEN_V3_FREE_OVERWRITE_s1,ABC,512,512,0,432,415,364,433,404,288,29,12,16,224,64
gemma,FROZEN_V3_FREE_OVERWRITE_s1,CBA,512,512,0,432,415,364,433,404,288,29,12,16,224,64
gemma,FROZEN_V3_FREE_OVERWRITE_s1,AB_cross,512,256,256,230,226,205,223,218,256,0,0,0,256,68
gemma,CANONICAL_CURRENT_s0,single,512,256,256,254,249,247,248,248,256,0,0,0,256,26
gemma,CANONICAL_CURRENT_s0,AB,512,256,256,248,235,231,239,235,256,4,2,0,256,38
gemma,CANONICAL_CURRENT_s0,BA,512,256,256,248,235,231,239,235,256,4,2,0,256,38
gemma,CANONICAL_CURRENT_s0,ABC,512,512,0,486,464,448,471,461,288,15,5,7,224,33
gemma,CANONICAL_CURRENT_s0,CBA,512,512,0,486,464,448,471,461,288,15,5,7,224,33
gemma,CANONICAL_CURRENT_s0,AB_cross,512,256,256,250,241,235,238,238,256,0,0,0,256,34
gemma,CANONICAL_CURRENT_s1,single,512,256,256,248,252,244,248,248,256,0,0,0,256,14
gemma,CANONICAL_CURRENT_s1,AB,512,256,256,256,234,234,234,234,256,2,2,2,256,32
gemma,CANONICAL_CURRENT_s1,BA,512,256,256,256,234,234,234,234,256,2,2,2,256,32
