actor,condition,method,questions,all_origin_question_accuracy,main_question_accuracy,invalid,disagreement_vs_source,primary_effect_vs_baseline,primary_ci_low,primary_ci_high
gemma,CANONICAL_REPLAY_s0,CANONICAL_REPLAY,8704,0.9836856617647058,,0,2860,,,
gemma,CANONICAL_REPLAY_s1,CANONICAL_REPLAY,8704,0.9636948529411765,,0,2794,,,
gemma,EXISTING_CORRECTION,EXISTING_CORRECTION,8704,0.9230238970588235,,0,3070,,,
gemma,FIELD_PLUS_LATEST_ERRATUM,FIELD_PLUS_LATEST_ERRATUM,8704,0.9349724264705882,,0,3036,,,
gemma,FREE_PAIR_CONSISTENCY_s0,FREE_PAIR_CONSISTENCY,8704,0.955078125,,0,2843,0.1328125,-0.0078125,0.2734375
gemma,FREE_PAIR_CONSISTENCY_s1,FREE_PAIR_CONSISTENCY,8704,0.9564568014705882,,0,2929,0.1328125,-0.0078125,0.2734375
gemma,INV_PAIR_NLL_s0,INV_PAIR_NLL,8704,0.9836856617647058,,0,2860,0.15625,0.0,0.3046875
gemma,INV_PAIR_NLL_s1,INV_PAIR_NLL,8704,0.9487591911764706,,0,2766,0.15625,0.0,0.3046875
gemma,LATEST_ERRATUM,LATEST_ERRATUM,8704,0.9353170955882353,,0,3037,,,
gemma,LATEST_SAME_WORDING,LATEST_SAME_WORDING,8704,0.9226792279411765,,0,3045,,,
gemma,REBUILD,REBUILD,8704,0.9136029411764706,,0,2590,,,
gemma,SOURCE,SOURCE,8704,0.6686580882352942,,0,0,,,
qwen,CANONICAL_REPLAY_s0,CANONICAL_REPLAY,8704,0.9725413602941176,,0,3007,,,
qwen,CANONICAL_REPLAY_s1,CANONICAL_REPLAY,8704,0.9657628676470589,,0,2986,,,
qwen,EXISTING_CORRECTION,EXISTING_CORRECTION,8704,0.8407628676470589,,0,2790,,,
qwen,FIELD_PLUS_LATEST_ERRATUM,FIELD_PLUS_LATEST_ERRATUM,8704,0.8215762867647058,,0,2701,,,
qwen,FREE_PAIR_CONSISTENCY_s0,FREE_PAIR_CONSISTENCY,8704,0.9659926470588235,,0,2960,0.3984375,0.2890625,0.5078125
qwen,FREE_PAIR_CONSISTENCY_s1,FREE_PAIR_CONSISTENCY,8704,0.9639246323529411,,0,3060,0.3984375,0.2890625,0.5078125
qwen,INV_PAIR_NLL_s0,INV_PAIR_NLL,8704,0.9725413602941176,,0,3007,0.3125,0.203125,0.4375
qwen,INV_PAIR_NLL_s1,INV_PAIR_NLL,8704,0.9494485294117647,,0,2954,0.3125,0.203125,0.4375
qwen,LATEST_ERRATUM,LATEST_ERRATUM,8704,0.8214613970588235,,0,2696,,,
qwen,LATEST_SAME_WORDING,LATEST_SAME_WORDING,8704,0.8429457720588235,,0,2823,,,
qwen,REBUILD,REBUILD,8704,0.8428308823529411,,0,2340,,,
qwen,SOURCE,SOURCE,8704,0.6488970588235294,,0,0,,,
