actor,condition,coverage_endpoint,repeat_restore_all_questions,multi_program_all_questions,two_three_edit_harm,scenes
gemma,SOURCE,0.0,0.125,0.078125,0.0,64
gemma,NATURAL_FINAL_WORLD,0.328125,0.3875,0.36979166666666663,0.10807291666666666,64
gemma,TEXT_CORRECTION_SEQ,0.359375,0.31875000000000003,0.2903645833333333,0.11791992187499999,64
gemma,INV_SPARSE_CONTINUE_s0,0.421875,0.59375,0.5208333333333333,0.06770833333333333,64
gemma,INV_SPARSE_CONTINUE_s1,0.2734375,0.578125,0.46484375,0.11751302083333333,64
gemma,INV_COMPLETE_SINGLE_s0,0.453125,0.615625,0.5546875,0.059244791666666664,64
gemma,INV_COMPLETE_SINGLE_s1,0.4921875,0.709375,0.62109375,0.07145182291666666,64
gemma,FREE_SPARSE_CONTINUE_s0,0.5,0.5906250000000001,0.546875,0.06429036458333333,64
gemma,FREE_SPARSE_CONTINUE_s1,0.3046875,0.5375000000000001,0.46484375,0.08968098958333333,64
gemma,FREE_COMPLETE_SINGLE_s0,0.546875,0.6343749999999999,0.5924479166666666,0.038736979166666664,64
gemma,FREE_COMPLETE_SINGLE_s1,0.4296875,0.559375,0.5182291666666667,0.06315104166666666,64
gemma,FROZEN_V3_INVARIANT_SET_s0,0.421875,0.59375,0.5208333333333333,0.06770833333333333,64
gemma,FROZEN_V3_INVARIANT_SET_s1,0.34375,0.596875,0.49869791666666663,0.04931640625,64
gemma,FROZEN_V3_FREE_OVERWRITE_s0,0.5,0.5906250000000001,0.546875,0.06429036458333333,64
gemma,FROZEN_V3_FREE_OVERWRITE_s1,0.2265625,0.328125,0.2955729166666667,0.08854166666666667,64
gemma,CANONICAL_CURRENT_s0,0.546875,0.6375,0.59765625,0.038736979166666664,64
gemma,CANONICAL_CURRENT_s1,0.4921875,0.70625,0.6197916666666666,0.07145182291666666,64
qwen,SOURCE,0.0,0.037500000000000006,0.0234375,0.0,32
qwen,NATURAL_FINAL_WORLD,0.09375,0.1125,0.109375,0.08658854166666666,32
qwen,TEXT_CORRECTION_SEQ,0.015625,0.05625,0.044270833333333336,0.13444010416666666,32
qwen,INV_SPARSE_CONTINUE_s0,0.171875,0.3375,0.27604166666666663,0.12369791666666667,32
qwen,INV_SPARSE_CONTINUE_s1,0.265625,0.45625,0.3828125,0.09700520833333333,32
qwen,INV_COMPLETE_SINGLE_s0,0.484375,0.53125,0.5,0.0244140625,32
qwen,INV_COMPLETE_SINGLE_s1,0.515625,0.46875,0.4765625,0.03841145833333333,32
qwen,FREE_SPARSE_CONTINUE_s0,0.15625,0.175,0.16666666666666669,0.10677083333333331,32
qwen,FREE_SPARSE_CONTINUE_s1,0.234375,0.20625,0.22916666666666669,0.06868489583333331,32
qwen,FREE_COMPLETE_SINGLE_s0,0.390625,0.23125000000000004,0.30989583333333337,0.05403645833333333,32
qwen,FREE_COMPLETE_SINGLE_s1,0.5,0.3875,0.41927083333333337,0.05208333333333333,32
qwen,FROZEN_V3_INVARIANT_SET_s0,0.171875,0.3375,0.27604166666666663,0.12369791666666667,32
qwen,FROZEN_V3_INVARIANT_SET_s1,0.265625,0.45625,0.3828125,0.09700520833333333,32
qwen,FROZEN_V3_FREE_OVERWRITE_s0,0.1875,0.19375000000000003,0.19791666666666666,0.16666666666666666,32
qwen,FROZEN_V3_FREE_OVERWRITE_s1,0.125,0.125,0.14322916666666666,0.13574218749999997,32
qwen,CANONICAL_CURRENT_s0,0.484375,0.525,0.4973958333333333,0.0244140625,32
qwen,CANONICAL_CURRENT_s1,0.515625,0.47500000000000003,0.4791666666666667,0.03841145833333333,32
