actor,condition,root_id,origins_present,questions,correct,bundle_complete,mean_question_accuracy
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0000,4,136,134,0,0.9852941176470589
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0001,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0002,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0003,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0004,4,136,132,0,0.9705882352941176
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0005,4,136,132,0,0.9705882352941176
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0006,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0007,4,136,134,0,0.9852941176470589
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0008,4,136,131,0,0.9632352941176471
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0009,4,136,126,0,0.9264705882352942
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0010,4,136,127,0,0.9338235294117647
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0011,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0012,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0013,4,136,131,0,0.9632352941176471
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0014,4,136,134,0,0.9852941176470589
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0015,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0016,4,136,133,0,0.9779411764705882
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0017,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0018,4,136,133,0,0.9779411764705882
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0019,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0020,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0021,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0022,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0023,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0024,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0025,4,136,131,0,0.9632352941176471
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0026,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0027,4,136,132,0,0.9705882352941176
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0028,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0029,4,136,131,0,0.9632352941176471
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0030,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0031,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0032,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0033,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0034,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0035,4,136,124,0,0.9117647058823529
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0036,4,136,132,0,0.9705882352941176
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0037,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0038,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0039,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0040,4,136,134,0,0.9852941176470589
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0041,4,136,134,0,0.9852941176470589
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0042,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0043,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0044,4,136,133,0,0.9779411764705882
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0045,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0046,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0047,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0048,4,136,126,0,0.9264705882352942
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0049,4,136,134,0,0.9852941176470589
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0050,4,136,131,0,0.9632352941176471
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0051,4,136,127,0,0.9338235294117647
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0052,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0053,4,136,127,0,0.9338235294117647
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0054,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0055,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0056,4,136,133,0,0.9779411764705882
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0057,4,136,129,0,0.9485294117647058
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0058,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0059,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0060,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0061,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0062,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s0,UPDATE_COMPARISON-ORIGIN-0063,4,136,132,0,0.9705882352941176
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0000,4,136,129,0,0.9485294117647058
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0001,4,136,134,0,0.9852941176470589
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0002,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0003,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0004,4,136,124,0,0.9117647058823529
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0005,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0006,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0007,4,136,135,0,0.9926470588235294
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0008,4,136,124,0,0.9117647058823529
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0009,4,136,121,0,0.8897058823529411
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0010,4,136,118,0,0.8676470588235294
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0011,4,136,134,0,0.9852941176470589
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0012,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0013,4,136,128,0,0.9411764705882353
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0014,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0015,4,136,130,0,0.9558823529411765
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0016,4,136,127,0,0.9338235294117647
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0017,4,136,128,0,0.9411764705882353
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0018,4,136,131,0,0.9632352941176471
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0019,4,136,117,0,0.8602941176470589
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0020,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0021,4,136,128,0,0.9411764705882353
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0022,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0023,4,136,132,0,0.9705882352941176
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0024,4,136,133,0,0.9779411764705882
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0025,4,136,131,0,0.9632352941176471
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0026,4,136,127,0,0.9338235294117647
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0027,4,136,126,0,0.9264705882352942
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0028,4,136,122,0,0.8970588235294118
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0029,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0030,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0031,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0032,4,136,131,0,0.9632352941176471
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0033,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0034,4,136,136,1,1.0
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0035,4,136,125,0,0.9191176470588235
gemma,CANONICAL_REPLAY_s1,UPDATE_COMPARISON-ORIGIN-0036,4,136,127,0,0.9338235294117647
